Monitoreo,Nombre_punto,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
20,PUNTO - 15,458.355,358.968,100.31,14 DE JUNIO 2019,2.389,0
20,PUNTO - 16,466.867,364.116,100.3,14 DE JUNIO 2019,2.389,0
20,PUNTO - 17,474.077,370.967,100.294,14 DE JUNIO 2019,2.389,0
20,PUNTO - 18,479.665,379.189,100.29,14 DE JUNIO 2019,2.389,0
20,PUNTO - 19,483.347,388.429,100.294,14 DE JUNIO 2019,2.389,0
20,PUNTO - 20,485.0,398.203,100.304,14 DE JUNIO 2019,2.389,0
20,PUNTO - 21,484.503,408.267,100.316,14 DE JUNIO 2019,2.389,0
20,PUNTO - 22,482.095,417.913,100.305,14 DE JUNIO 2019,2.389,0
20,PUNTO - 23,477.406,426.592,100.291,14 DE JUNIO 2019,2.389,0
20,PUNTO - 24,471.083,434.242,100.29,14 DE JUNIO 2019,2.389,0
20,PUNTO - 25,463.243,440.386,100.292,14 DE JUNIO 2019,2.389,0
20,PUNTO - 26,454.269,444.714,100.287,14 DE JUNIO 2019,2.389,0
20,PUNTO - 27,444.893,446.973,100.285,14 DE JUNIO 2019,2.389,0
20,PUNTO - 28,434.975,447.213,100.287,14 DE JUNIO 2019,2.389,0
20,PUNTO - 29,425.227,445.374,100.296,14 DE JUNIO 2019,2.389,0
20,PUNTO - 30,416.081,441.5,100.31,14 DE JUNIO 2019,2.389,0
21,PUNTO - 1 = 127º,410.571,437.929,100.321,03 DE JULIO 2020,4.538,0
21,PUNTO - 2,403.361,431.075,100.334,03 DE JULIO 2020,4.538,0
21,PUNTO - 3,397.761,422.842,100.341,03 DE JULIO 2020,4.538,0
21,PUNTO - 4,394.056,413.623,100.346,03 DE JULIO 2020,4.538,0
21,PUNTO - 5,392.379,403.842,100.343,03 DE JULIO 2020,4.538,0
21,PUNTO - 6,392.832,393.919,100.319,03 DE JULIO 2020,4.538,0
21,PUNTO - 7,395.4,384.324,100.299,03 DE JULIO 2020,4.538,0
21,PUNTO - 8,399.96,375.493,100.291,03 DE JULIO 2020,4.538,0
21,PUNTO - 9,406.372,367.718,100.305,03 DE JULIO 2020,4.538,0
21,PUNTO - 10,411.152,363.657,100.315,03 DE JULIO 2020,4.538,0
21,PUNTO - 11,419.734,358.648,100.34,03 DE JULIO 2020,4.538,0
21,PUNTO - 12,429.184,355.582,100.336,03 DE JULIO 2020,4.538,0
21,PUNTO - 13,439.111,354.603,100.326,03 DE JULIO 2020,4.538,0
21,PUNTO - 14,448.976,355.751,100.314,03 DE JULIO 2020,4.538,0
21,PUNTO - 15,458.354,358.964,100.311,03 DE JULIO 2020,4.538,0
21,PUNTO - 16,466.864,364.112,100.301,03 DE JULIO 2020,4.538,0
21,PUNTO - 17,474.075,370.961,100.295,03 DE JULIO 2020,4.538,0
21,PUNTO - 18,479.666,379.187,100.29,03 DE JULIO 2020,4.538,0
21,PUNTO - 19,483.348,388.427,100.294,03 DE JULIO 2020,4.538,0
21,PUNTO - 20,485.0,398.2,100.304,03 DE JULIO 2020,4.538,0
21,PUNTO - 21,484.505,408.266,100.317,03 DE JULIO 2020,4.538,0
21,PUNTO - 22,482.095,417.911,100.306,03 DE JULIO 2020,4.538,0
21,PUNTO - 23,477.407,426.589,100.291,03 DE JULIO 2020,4.538,0
21,PUNTO - 24,471.086,434.239,100.291,03 DE JULIO 2020,4.538,0
21,PUNTO - 25,463.244,440.383,100.293,03 DE JULIO 2020,4.538,0
21,PUNTO - 26,454.27,444.711,100.288,03 DE JULIO 2020,4.538,0
21,PUNTO - 27,444.895,446.97,100.286,03 DE JULIO 2020,4.538,0
21,PUNTO - 28,434.973,447.211,100.287,03 DE JULIO 2020,4.538,0
